,review_text,sentiment,text_length,word_count,text_lower,label_encoded
1,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",neutral,112,22,"oooh, sunshine! a patch of sunshine! and it will be gone by the time i leave work and replaced with rain.  /vent",0
2,skype call with billie but my webcam dont work,neutral,46,9,skype call with billie but my webcam dont work,0
3,"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",neutral,120,23,"just had a great study time followed by a delicious japanese meal with arty! now, trying to get back into the study mood",1
4,FML not having a car is prohibiting finding a job,negative,49,10,fml not having a car is prohibiting finding a job,-1
5,"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",neutral,97,19,"  lol since i got twitter a little while ago, it seems like loads of people setting up an account",0
6, I want to see David cook!!,neutral,27,6, i want to see david cook!!,1
7, yeh me 2,neutral,9,3, yeh me 2,0
8, learning tat the scenic way  din plan to go town but somehow was herded there?,neutral,79,15, learning tat the scenic way  din plan to go town but somehow was herded there?,0
9," i don`t want to do anything specific, i just want to see you and puppy!",neutral,72,15," i don`t want to do anything specific, i just want to see you and puppy!",0
10, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative,104,20, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,-1
11,Toy Story 3 trailer premiered with Up. I need my computer back.,neutral,63,12,toy story 3 trailer premiered with up. i need my computer back.,0
12,ughh on the phone with HP!,neutral,26,6,ughh on the phone with hp!,0
13,And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',neutral,112,22,and- hand made by dan & jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',0
14, yay about breaking 200!,neutral,24,4, yay about breaking 200!,1
15, bahah sadly I am not,negative,21,5, bahah sadly i am not,-1
16, i always have those for my Champions League parties  Tis awesome,positive,65,11, i always have those for my champions league parties  tis awesome,1
17," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive,128,23," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",1
18,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral,106,17,_adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,0
